Site,Date_collected,Date_processed,Site,Cobble_SID,Pool_or_Riffle,Volume_mL,Volume_Added,TIN_num,Dry_Weight_g,AFD_Weight_g,Difference, Notes,,
Elder_Below,4/28/18,5/2/18,Rock_Rose_18.4,1,riffle,26.5,0,11,1.1444,1.1432,0.0012,,,
Elder_Below,4/28/18,5/2/18,Rock_Rose_18.4,3,riffle,30,0,9,1.1643,1.1622,0.0021,,,
Elder_Below,4/28/18,5/2/18,Rock_Rose_18.4,7,pool,38,0,4,1.1527,1.1503,0.0024,,,
Elder_Below,4/28/18,5/2/18,Rock_Rose_18.4,16,pool,49,0,7,1.1647,1.1550,0.0097,,,
Elder_Below,4/28/18,5/2/18,BrandyWine_18.3,5,riffle,41,0,10,1.1476,1.1436,0.0040,,,
Elder_Below,4/28/18,5/2/18,BrandyWine_18.3,14,pool,42.5,0,14,1.1592,1.1564,0.0028,,,
Elder_Below,4/28/18,5/2/18,BrandyWine_18.3,15,pool,45,1.5,3,1.1536,1.1513,0.0023,,,
Elder_Below,4/28/18,5/2/18,BrandyWine_18.3,2,riffle,39.5,0,2,1.1595,1.1566,0.0029,,,
Elder_Below,4/28/18,5/2/18,Oak_Terrace_18.2,4,riffle,48,0,12,1.1671,1.1652,0.0235,,,
Elder_Below,4/28/18,5/2/18,Oak_Terrace_18.2,9,riffle,25,10.5,5,1.1468,1.1452,0.0016,,,
Elder_Below,4/28/18,5/2/18,Oak_Terrace_18.2,10,pool,33,0,15,1.1577,1.1555,0.0022,,,
Elder_Below,4/28/18,5/2/18,Oak_Terrace_18.2,13,pool,46,0,1,1.1771,1.1712,0.0059,,,
Elder_Below,4/28/18,5/2/18,T.V._Pool_18.1,6,riffle,28,0,13,1.1503,1.1491,0.0012,,,
Elder_Below,4/28/18,5/2/18,T.V._Pool_18.1,8,riffle,43,2.5,8,1.1645,1.1618,0.0027,,,
Elder_Below,4/28/18,5/2/18,T.V._Pool_18.1,11,pool,40.5,0,6,1.1716,1.1690,0.0026,,,
Elder_Below,4/28/18,5/2/18,T.V._Pool_18.1,12,pool,35,0,16,1.1584,1.1567,0.0017,,,
Porter_Above,5/1/18,5/2/18,Frog_Legs_18.1,1,riffle,45,0,28,1.1411,1.1388,0.0023,,,
Porter_Above,5/1/18,5/2/18,Frog_Legs_18.1,5,riffle,28.5,0,20,1.1823,1.1717,0.0106,,,
Porter_Above,5/1/18,5/2/18,Frog_Legs_18.1,7,pool,26,0,24,1.1637,1.1617,0.0020,,,
Porter_Above,5/1/18,5/2/18,Frog_Legs_18.1,11,pool,23,0,32,1.1471,1.1460,0.0011,,,
Porter_Above,5/1/18,5/2/18,Jesus_Toast_18.2,8,riffle,36.5,0,25,1.1405,1.1383,0.0022,,,
Porter_Above,5/1/18,5/2/18,Jesus_Toast_18.2,9,riffle,44,0,19,1.1393,1.1368,0.0025,,,
Porter_Above,5/1/18,5/2/18,Jesus_Toast_18.2,15,pool,29.5,0,29,1.1456,1.1437,0.0019,,,
Porter_Above,5/1/18,5/2/18,Jesus_Toast_18.2,16,pool,28.5,0,21,1.1497,1.1472,0.0025,,,
Porter_Above,5/1/18,5/2/18,Golf_Ball_18.3,4,riffle,65,0,18,1.1508,1.1480,0.0028,,,
Porter_Above,5/1/18,5/2/18,Golf_Ball_18.3,6,riffle,43,0,30,1.1417,1.1401,0.0016,,,
