(Po01) Porter Crk Near Fish Antennae,,,(Po02) Porter Crk Above Fish Antennae,,,(Po03) Porter Crk at Weir,,,(Po04) Porter Crk Below 2nd Release,,,,,,,,,,,,,
Streamflow,,,Streamflow,,,Streamflow,,,Streamflow,,,,,,,,,,,,,
WY2018,,,WY2018,,,WY2018,,,WY2018,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
SampleDate,"Streamflow, ft3/sec",,SampleDate,"Streamflow, ft3/sec",,SampleDate,"Streamflow, ft3/sec",,SampleDate,"Streamflow, ft3/sec",,,,,,,,,,,,
10/1/17 0:00,0,,10/1/17 0:00,0,,10/1/17 0:02,0.04,,10/1/17 0:10,0,,,,,,,,,,,,
10/1/17 0:15,0,,10/1/17 0:15,0,,10/1/17 0:17,0.04,,10/1/17 0:25,0,,,,,,,,,,,,
10/1/17 0:30,0,,10/1/17 0:30,0,,10/1/17 0:32,0.05,,10/1/17 0:40,0,,,,,,,,,,,,
10/1/17 0:45,0,,10/1/17 0:45,0,,10/1/17 0:47,0.05,,10/1/17 0:55,0,,,,,,,,,,,,
10/1/17 1:00,0,,10/1/17 1:00,0,,10/1/17 1:02,0.05,,10/1/17 1:10,0,,,,,,,,,,,,
10/1/17 1:15,0,,10/1/17 1:15,0,,10/1/17 1:17,0.05,,10/1/17 1:25,0,,,,,,,,,,,,
10/1/17 1:30,0,,10/1/17 1:30,0,,10/1/17 1:32,0.05,,10/1/17 1:40,0,,,,,,,,,,,,
10/1/17 1:45,0,,10/1/17 1:45,0,,10/1/17 1:47,0.05,,10/1/17 1:55,0,,,,,,,,,,,,
10/1/17 2:00,0,,10/1/17 2:00,0,,10/1/17 2:02,0.05,,10/1/17 2:10,0,,,,,,,,,,,,
10/1/17 2:15,0,,10/1/17 2:15,0,,10/1/17 2:17,0.05,,10/1/17 2:25,0,,,,,,,,,,,,
10/1/17 2:30,0,,10/1/17 2:30,0,,10/1/17 2:32,0.05,,10/1/17 2:40,0,,,,,,,,,,,,
10/1/17 2:45,0,,10/1/17 2:45,0,,10/1/17 2:47,0.05,,10/1/17 2:55,0,,,,,,,,,,,,
10/1/17 3:00,0,,10/1/17 3:00,0,,10/1/17 3:02,0.05,,10/1/17 3:10,0,,,,,,,,,,,,
10/1/17 3:15,0,,10/1/17 3:15,0,,10/1/17 3:17,0.05,,10/1/17 3:25,0,,,,,,,,,,,,
10/1/17 3:30,0,,10/1/17 3:30,0,,10/1/17 3:32,0.05,,10/1/17 3:40,0,,,,,,,,,,,,
10/1/17 3:45,0,,10/1/17 3:45,0,,10/1/17 3:47,0.05,,10/1/17 3:55,0,,,,,,,,,,,,
10/1/17 4:00,0,,10/1/17 4:00,0,,10/1/17 4:02,0.05,,10/1/17 4:10,0,,,,,,,,,,,,
10/1/17 4:15,0,,10/1/17 4:15,0,,10/1/17 4:17,0.05,,10/1/17 4:25,0,,,,,,,,,,,,
10/1/17 4:30,0,,10/1/17 4:30,0,,10/1/17 4:32,0.05,,10/1/17 4:40,0,,,,,,,,,,,,
10/1/17 4:45,0,,10/1/17 4:45,0,,10/1/17 4:47,0.06,,10/1/17 4:55,0,,,,,,,,,,,,
10/1/17 5:00,0,,10/1/17 5:00,0,,10/1/17 5:02,0.05,,10/1/17 5:10,0,,,,,,,,,,,,
