Stream,ID,Date,Site_Name,Site_#,Pool_Riffle,MaxDepth-DO1,MaxDepth-DO2,MaxDepth-DO3,Cobble,Light_T_s,Light_Do_s,Light_Temp_s,Light_mmBar_s,Light_T_e,Light_DO_e,Light_Temp_e,Light_mmBar_e,Dark_T_s,Dark_Do_s,Dark_Temp_s,Dark_mmBar_s,Dark_T_e,Dark_DO_e,Dark_Temp_e,Dark_mmBar_e,Rock Volumes (cubic cm),Volume ml,Volume L,Notes,Surface Area(cm2),NEP,R,GPP,GPPcorrected,GPP/Area
Elder,,4/28/18,TV_Pool,18.1,R,n/a (did not measure),n/a,n/a,6,13:03,10.67,9.8,964,14:56,10.81,10.3,963.8,15:03,10.68,10.1,963.6,17:00,10.55,10.1,963.3,75,75,0.075,lost some cyanos,40.814,,,,,
Elder,,4/28/18,TV_Pool,18.1,R,n/a,n/a,n/a,8,13:05,10.65,9.8,964,14:58,11.2,10.2,963.7,15:04,10.63,10.1,963.6,17:02,10.55,10.1,963.3,160,160,0.16,midges present,39.49,,,,,
Elder,,4/28/18,TV_Pool,18.1,P,n/a,n/a,n/a,11,13:10,10.65,9.8,964,14:59,11.22,10.1,963.6,15:06,10.64,10,963.6,17:02,10.53,10.1,963.2,135,135,0.135,small limpet present on cobble for light experiment,52.837,,,,,
Elder,,4/28/18,TV_Pool,18.1,P,n/a,n/a,n/a,12,13:12,10.65,9.8,964,15:00,11.32,10.2,963.6,15:08,10.64,10,963.4,17:03,10.51,10.1,963.2,160,160,0.16,,56.184,,,,,
Elder,,4/28/18,Oak_Terrace,18.2,R,n/a,n/a,n/a,4,12:26,10.62,9.8,964.7,14:20,10.26,10.3,964.7,14:35,10.51,10,964.6,16:35,10.3,10.6,964.1,95,95,0.095,,51.265,,,,,
Elder,,4/28/18,Oak_Terrace,18.2,R,n/a,n/a,n/a,9,12:27,10.63,9.8,964.8,14:24,11.26,10.2,964.6,14:31,10.54,10.1,964.6,16:37,10.32,10.4,964.1,245,245,0.245,,48.351,,,,,
Elder,,4/28/18,Oak_Terrace,18.2,P,n/a ,n/a,n/a,10,12:28,10.62,9.8,964.8,14:26,11.34,10.2,964.6,14:32,10.58,10,964.6,16:38,10.33,10.3,964.1,65,65,0.065,,56.035,,,,,
Elder,,4/28/18,Oak_Terrace,18.2,P,n/a,n/a,n/a,13,12:29,10.62,9.8,964.8,14:27,11.55,10.2,964.6,14:33,10.46,10.1,964.6,16:40,10:15,10.2,964.1,205,205,0.205,,66.885,,,,,
Elder,,4/28/18,Brandywine,18.3,R,n/a,n/a,n/a,2,12:06,10.61,9.8,965.4,14:02,11.37,10,965.3,14.07,10.64,10,965.3,16:09,10.36,10.4,964.8,225,225,0.225,,63.651,,,,,
Elder,,4/28/18,Brandywine,18.3,R,n/a,n/a,n/a,5,12:01,10.61,9.8,965.4,13:59,10.83,10.1,965.3,14:03,10.72,10,965.3,16:10,10.49,10.2,964.7,230,230,0.23,,82.219,,,,,
